otuID,phylum,class,order,family,genus,species
uniq2170,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Actinopyga,Actinopyga spinea
uniq6994,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Actinopyga,Actinopyga spinea
uniq25747,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,Amphiodia
uniq24237,Echinodermata,Asteroidea,Valvatida,Archasteridae,Archaster,Archaster typicus
uniq14507,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Asteropsis,Asteropsis carinifera
uniq26010,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Asteropsis,Asteropsis carinifera
uniq17580,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Astropyga,Astropyga
uniq951,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Astropyga,Astropyga
uniq6018,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Bohadschia,Bohadschia vitiensis
uniq5854,Echinodermata,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea
uniq11340,Echinodermata,Holothuroidea,Apodida,Chiridotidae,Chiridota,Chiridota impatiens
uniq7137,Echinodermata,Crinoidea,Comatulida,Comatulidae,Clarkcomanthus,Clarkcomanthus
uniq674,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comatulidae,Comanthus
uniq8300,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comanthus,Comanthus
uniq133,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster,Echinaster
uniq5317,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometridae,Echinometridae
uniq10083,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq11651,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq13484,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria
uniq1513,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria
uniq17791,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq18072,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq22391,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq2308,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria
uniq2952,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq4067,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq448,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria
uniq5195,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq5629,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria
uniq647,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
uniq7,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster,Acanthaster
uniq7854,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata
