"","TotalReads","TotalTaxa"
"sample1",0,0
"sample2",0,0
"sample3",28264,13
"sample4",1580,13
"sample5",632,3
"sample6",15493,40
"sample7",4544,24
"sample8",14015,27
"sample9",951,9
"sample10",89,4
"sample11",0,0
"sample12",1472,16
"sample13",1195,15
"sample14",1142,31
"sample15",12338,29
"sample16",3160,40
"sample17",1064,29
"sample18",2582,20
"sample19",10366,45
"sample20",6025,18
"sample21",14601,42
"sample22",11841,34
"sample23",1229,43
"sample24",41,4
"sample25",2184,22
"sample26",1325,21
"sample27",182,7
"sample28",901,20
"sample29",50,6
"sample30",40,8
"sample31",347,22
"sample32",806,26
"sample33",6309,25
"sample34",9483,17
"sample35",5254,20
"sample36",780,29
"sample37",1667,19
"sample38",17958,28
"sample39",4493,34
"sample40",8238,39
"sample41",8048,35
"sample42",4290,40
"sample43",466,27
"sample44",61,12
"sample45",885,41
