ID,SampleID,ReadNumber
uniq29,sample44,2
uniq1780,sample44,2
uniq18,sample44,2
uniq40,sample44,2
uniq560,sample44,2
uniq91,sample44,2
uniq13,sample44,3
uniq149,sample43,3
uniq16,sample30,3
uniq161,sample27,3
uniq17,sample26,3
uniq17,sample44,3
uniq174,sample32,3
uniq18,sample29,3
uniq198,sample45,3
uniq210,sample43,3
uniq251,sample32,3
uniq274,sample43,3
uniq3134,sample45,3
uniq440,sample45,3
uniq50,sample29,3
uniq55,sample31,3
uniq59,sample30,3
uniq619,sample31,3
uniq70,sample43,3
uniq70,sample44,3
uniq70,sample45,3
uniq741,sample43,3
uniq77,sample33,3
uniq785,sample45,3
uniq938,sample31,3
uniq133,sample32,4
uniq106,sample36,4
uniq1091,sample27,4
uniq110,sample43,4
uniq1366,sample28,4
uniq16,sample32,4
uniq161,sample30,4
uniq192,sample31,4
uniq194,sample23,4
uniq214,sample36,4
uniq26620,sample27,4
uniq27297,sample28,4
uniq273,sample43,4
uniq277,sample23,4
uniq28,sample45,4
uniq287,sample26,4
uniq303,sample45,4
uniq32,sample24,4
uniq336,sample36,4
uniq34,sample23,4
uniq34,sample36,4
uniq3573,sample26,4
uniq368,sample26,4
uniq405,sample23,4
uniq440,sample31,4
uniq450,sample23,4
uniq506,sample23,4
uniq512,sample36,4
uniq54,sample30,4
uniq60,sample32,4
uniq62,sample33,4
uniq643,sample31,4
uniq66,sample36,4
uniq70,sample26,4
uniq70,sample31,4
uniq863,sample26,4
uniq91,sample36,4
uniq133,sample17,5
uniq44,sample23,5
uniq44,sample36,5
uniq100,sample23,5
uniq100,sample32,5
uniq118,sample17,5
uniq145,sample36,5
uniq17,sample29,5
uniq18,sample30,5
uniq18487,sample26,5
uniq18605,sample26,5
uniq202,sample17,5
uniq243,sample26,5
uniq258,sample36,5
uniq2892,sample45,5
uniq309,sample23,5
uniq336,sample45,5
uniq37,sample43,5
uniq4559,sample26,5
uniq50,sample17,5
uniq50,sample45,5
uniq52,sample17,5
uniq52,sample30,5
uniq52,sample32,5
uniq55,sample45,5
uniq70,sample36,5
uniq938,sample45,5
uniq100,sample36,6
uniq13,sample17,6
uniq1349,sample45,6
uniq14,sample28,6
uniq161,sample23,6
uniq211,sample14,6
uniq211,sample31,6
uniq214,sample43,6
uniq247,sample43,6
uniq28,sample29,6
uniq34,sample14,6
uniq374,sample32,6
uniq54,sample45,6
uniq60,sample36,6
uniq62,sample37,6
uniq66,sample17,6
uniq76,sample45,6
uniq86,sample45,6
uniq90,sample37,6
uniq10,sample24,7
uniq103,sample26,7
uniq1385,sample26,7
uniq15094,sample45,7
uniq186,sample17,7
uniq223,sample43,7
uniq290,sample23,7
uniq298,sample45,7
uniq329,sample45,7
uniq54,sample32,7
uniq6,sample44,7
uniq90,sample36,7
uniq103,sample45,8
uniq1041,sample45,8
uniq12927,sample14,8
uniq13,sample24,8
uniq17,sample30,8
uniq258,sample37,8
uniq28,sample17,8
uniq34,sample31,8
uniq512,sample14,8
uniq6,sample30,8
uniq667,sample45,8
uniq68,sample36,8
