sample,tow,site.rep,site.year,site,region,year
X1623,1623,Fore_1,Fore_2017,Fore & Aft Reef,Central,2017
X1624,1624,Fore_2,Fore_2017,Fore & Aft Reef,Central,2017
X1629,1629,Bram_1,Bram_2017,Bramble Reef,Central,2017
X1630,1630,Bram_2,Bram_2017,Bramble Reef,Central,2017
X1632,1632,Brit_1,Brit_2017,Brittomart Reef,Central,2017
X1633,1633,Brit_2,Brit_2017,Brittomart Reef,Central,2017
X1635,1635,Otte_1,Otte_2017,Otter Reef,Central,2017
X1636,1636,Otte_2,Otte_2017,Otter Reef,Central,2017
X1638,1638,Yama_1,Yama_2017,Yamacutta Reef,Central,2017
X1639,1639,Yama_2,Yama_2017,Yamacutta Reef,Central,2017
X1641,1641,Eddy_1,Eddy_2017,Eddy Reef,Central,2017
X1642,1642,Eddy_2,Eddy_2017,Eddy Reef,Central,2017
X1644,1644,Hall_1,Hall_2017,Hall-Thompson Reef,Central,2017
X1645,1645,Hall_2,Hall_2017,Hall-Thompson Reef,Central,2017
X1650,1650,Gibs_1,Gibs_2017,Gibson Reef,Central,2017
X1651,1651,Gibs_2,Gibs_2017,Gibson Reef,Central,2017
X1656,1656,Sudb_1,Sudb_2017,Sudbury Reef,Central,2017
X1657,1657,Sudb_2,Sudb_2017,Sudbury Reef,Central,2017
X1662,1662,Gree_1,Gree_2017,Green Island,Central,2017
X1663,1663,Gree_2,Gree_2017,Green Island,Central,2017
X1668,1668,Pixi_1,Pixi_2017,Pixie Reef,Central,2017
X1669,1669,Pixi_2,Pixi_2017,Pixie Reef,Central,2017
X1674,1674,Tong_1,Tong_2017,Tongue Reef,North,2017
X1675,1675,Tong_2,Tong_2017,Tongue Reef,North,2017
X1677,1677,Undi_1,Undi_2017,Undine Reef,North,2017
X1678,1678,Undi_2,Undi_2017,Undine Reef,North,2017
X1689,1689,Oste_1,Oste_2017,Osterlund Reef,North,2017
X1690,1690,Oste_2,Oste_2017,Osterlund Reef,North,2017
X1755,1755,Liza_1,Liza_2017,Lizard Island,North,2017
X1756,1756,Liza_2,Liza_2017,Lizard Island,North,2017
X2572,2572,Oste_1,Oste_2018,Osterlund Reef,North,2018
X2573,2573,Oste_2,Oste_2018,Osterlund Reef,North,2018
X2587,2587,Undi_1,Undi_2018,Undine Reef,North,2018
X2588,2588,Undi_2,Undi_2018,Undine Reef,North,2018
X2599,2599,Tong_1,Tong_2018,Tongue Reef,North,2018
X2600,2600,Tong_2,Tong_2018,Tongue Reef,North,2018
X2602,2602,Pixi_1,Pixi_2018,Pixie Reef,Central,2018
X2603,2603,Pixi_2,Pixi_2018,Pixie Reef,Central,2018
X2608,2608,Gree_1,Gree_2018,Green Island,Central,2018
X2609,2609,Gree_2,Gree_2018,Green Island,Central,2018
X2614,2614,Sudb_1,Sudb_2018,Sudbury Reef,Central,2018
X2615,2615,Sudb_2,Sudb_2018,Sudbury Reef,Central,2018
X2620,2620,Gibs_1,Gibs_2018,Gibson Reef,Central,2018
X2621,2621,Gibs_2,Gibs_2018,Gibson Reef,Central,2018
X2626,2626,Hall_1,Hall_2018,Hall-Thompson Reef,Central,2018
X2627,2627,Hall_2,Hall_2018,Hall-Thompson Reef,Central,2018
X2632,2632,Eddy_1,Eddy_2018,Eddy Reef,Central,2018
X2633,2633,Eddy_2,Eddy_2018,Eddy Reef,Central,2018
X2635,2635,Yama_1,Yama_2018,Yamacutta Reef,Central,2018
X2636,2636,Yama_2,Yama_2018,Yamacutta Reef,Central,2018
X2638,2638,Otte_1,Otte_2018,Otter Reef,Central,2018
X2639,2639,Otte_2,Otte_2018,Otter Reef,Central,2018
X2641,2641,Brit_1,Brit_2018,Brittomart Reef,Central,2018
X2642,2642,Brit_2,Brit_2018,Brittomart Reef,Central,2018
X2644,2644,Bram_1,Bram_2018,Bramble Reef,Central,2018
X2645,2645,Bram_2,Bram_2018,Bramble Reef,Central,2018
X2647,2647,Fore_1,Fore_2018,Fore & Aft Reef,Central,2018
X2648,2648,Fore_2,Fore_2018,Fore & Aft Reef,Central,2018
X2662,2662,Liza_1,Liza_2018,Lizard Island,North,2018
X2663,2663,Liza_2,Liza_2018,Lizard Island,North,2018
X101156,101156,Pixi_1,Pixi_2019,Pixie Reef,Central,2019
X101157,101157,Pixi_2,Pixi_2019,Pixie Reef,Central,2019
X101169,101169,Tong_1,Tong_2019,Tongue Reef,North,2019
X101171,101171,Tong_2,Tong_2019,Tongue Reef,North,2019
X101176,101176,Undi_1,Undi_2019,Undine Reef,North,2019
X101178,101178,Undi_2,Undi_2019,Undine Reef,North,2019
X101200,101200,Oste_1,Oste_2019,Osterlund Reef,North,2019
X101202,101202,Oste_2,Oste_2019,Osterlund Reef,North,2019
X101221,101221,Liza_1,Liza_2019,Lizard Island,North,2019
X101222,101222,Liza_2,Liza_2019,Lizard Island,North,2019
X101226,101226,Gree_1,Gree_2019,Green Island,Central,2019
X101228,101228,Gree_2,Gree_2019,Green Island,Central,2019
X101236,101236,Sudb_1,Sudb_2019,Sudbury Reef,Central,2019
X101238,101238,Sudb_2,Sudb_2019,Sudbury Reef,Central,2019
X101246,101246,Gibs_1,Gibs_2019,Gibson Reef,Central,2019
X101248,101248,Gibs_2,Gibs_2019,Gibson Reef,Central,2019
X101262,101262,Hall_1,Hall_2019,Hall-Thompson Reef,Central,2019
X101264,101264,Hall_2,Hall_2019,Hall-Thompson Reef,Central,2019
X101268,101268,Eddy_1,Eddy_2019,Eddy Reef,Central,2019
X101270,101270,Eddy_2,Eddy_2019,Eddy Reef,Central,2019
X101276,101276,Yama_1,Yama_2019,Yamacutta Reef,Central,2019
X101279,101279,Yama_2,Yama_2019,Yamacutta Reef,Central,2019
X101283,101283,Otte_1,Otte_2019,Otter Reef,Central,2019
X101286,101286,Otte_2,Otte_2019,Otter Reef,Central,2019
X101295,101295,Brit_1,Brit_2019,Brittomart Reef,Central,2019
X101297,101297,Brit_2,Brit_2019,Brittomart Reef,Central,2019
X101320,101320,Bram_1,Bram_2019,Bramble Reef,Central,2019
X101321,101321,Bram_2,Bram_2019,Bramble Reef,Central,2019
X101341,101341,Fore_1,Fore_2019,Fore & Aft Reef,Central,2019
X101343,101343,Fore_2,Fore_2019,Fore & Aft Reef,Central,2019
EC,EC,EC,EC,EC,EC,EC
MC,MC,MC,MC,MC,MC,MC
NCA,NCA,NCA,NCA,NCA,NCA,NCA
NCB,NCB,NCB,NCB,NCB,NCB,NCB
NCC,NCC,NCC,NCC,NCC,NCC,NCC
OC,OC,OC,OC,OC,OC,OC
