phylum,Annelida,Arthropoda,Chaetognatha,Chordata,Cnidaria,Ctenophora,Hemichordata,Mollusca,Nemertea,Phoronida,Platyhelminthes,Porifera,Sipuncula,Echinodermata,Total
1623,0,12,0,6,0,0,0,6,0,0,0,0,0,0,24
1624,0,16,0,1,0,0,0,6,0,0,0,0,0,0,23
1629,0,6,0,11,1,0,0,2,0,0,0,0,0,0,20
1630,0,9,0,9,2,0,0,0,0,0,0,0,0,1,21
1632,0,13,0,3,2,0,0,0,0,0,0,0,0,0,18
1633,0,9,0,1,2,0,0,0,0,0,0,0,0,0,12
1635,0,3,1,8,0,0,0,0,0,0,0,0,0,0,12
1636,1,16,1,12,3,0,0,3,0,0,0,0,0,0,36
1638,0,10,0,4,1,0,0,0,0,0,0,0,0,0,15
1639,0,11,0,0,3,0,0,0,0,0,0,0,0,0,14
1641,2,15,5,9,3,0,0,0,0,0,0,0,0,0,34
1642,1,11,4,8,1,0,0,0,0,0,0,0,0,0,25
1644,1,13,1,5,3,0,0,1,0,0,0,0,0,0,24
1645,1,13,1,9,3,0,0,1,0,0,0,0,0,0,28
1650,1,12,4,14,3,0,0,0,0,0,0,0,0,2,36
1651,1,13,3,6,3,0,0,1,0,0,0,1,0,4,32
1656,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1657,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1662,0,10,0,3,0,0,0,1,0,0,0,0,0,0,14
1663,0,5,0,5,0,0,0,1,0,0,0,0,0,0,11
1668,0,11,2,5,0,0,0,2,0,0,0,0,0,0,20
1669,0,1,0,2,0,0,0,1,0,0,0,0,0,0,4
1674,0,1,0,3,0,0,0,0,0,0,0,0,0,1,5
1675,0,2,0,3,0,0,0,0,0,0,0,0,0,1,6
1677,0,9,0,1,1,0,0,1,0,0,0,0,0,0,12
1678,0,8,0,2,0,0,0,2,0,0,0,0,0,0,12
1689,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3
1690,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4
1755,0,4,0,0,1,0,0,0,0,0,0,0,0,0,5
1756,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5
2572,0,5,0,5,3,0,0,1,0,0,0,0,0,0,14
2573,0,7,0,3,2,0,0,5,0,0,0,0,0,0,17
2587,0,8,0,4,2,0,0,0,0,0,0,0,0,3,17
2588,0,9,0,3,4,0,0,0,0,0,0,0,0,5,21
2599,0,7,0,3,2,0,0,0,0,0,0,0,0,0,12
2600,0,11,1,3,6,0,0,0,0,0,0,0,0,0,21
2602,0,5,0,2,1,0,0,0,0,0,0,0,0,0,8
2603,0,7,0,5,3,0,0,0,0,0,0,0,0,0,15
2608,0,9,0,4,3,0,0,0,0,0,0,0,0,1,17
2609,0,8,0,2,1,0,0,0,0,0,0,0,0,0,11
2614,1,9,0,9,5,0,0,0,0,0,0,0,0,3,27
2615,0,7,0,3,1,0,0,0,0,0,0,0,0,3,14
2620,1,8,0,2,2,0,0,0,0,0,0,0,0,0,13
2621,0,10,0,2,3,0,0,0,0,0,0,0,0,0,15
2626,1,13,1,3,6,0,0,0,0,0,0,0,0,0,24
2627,1,10,0,4,3,0,0,0,0,0,0,0,0,0,18
2632,0,15,0,3,1,0,0,0,0,0,0,0,0,0,19
2633,1,10,1,3,6,1,0,0,0,0,0,0,0,1,23
2635,0,10,6,5,1,0,0,0,0,0,0,0,0,1,23
2636,1,12,2,3,5,0,0,0,0,0,0,0,0,0,23
2638,0,4,1,5,5,0,0,0,0,0,0,0,0,0,15
2639,0,14,4,6,3,0,0,0,0,0,0,0,0,0,27
2641,0,16,0,7,4,0,0,3,0,0,0,0,0,0,30
2642,1,9,2,6,2,0,0,0,0,0,0,0,0,1,21
2644,1,8,0,9,3,0,0,0,0,0,0,0,0,0,21
2645,0,8,0,5,3,0,0,1,0,0,0,0,0,0,17
2647,0,1,0,4,0,0,0,0,0,0,0,0,0,2,7
2648,0,4,0,0,1,0,0,0,0,0,0,0,0,3,8
2662,0,16,0,8,2,0,0,5,0,0,0,0,0,0,31
2663,0,8,0,6,6,0,0,3,0,0,0,0,0,0,23
101156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101176,0,0,0,5,0,0,0,2,0,0,0,0,0,0,7
101178,0,1,0,4,2,0,0,0,0,0,0,0,0,1,8
101200,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4
101202,1,4,0,3,3,0,0,0,0,0,0,0,0,2,13
101221,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3
101222,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3
101226,0,2,1,1,8,0,0,0,0,0,0,0,0,1,13
101228,2,3,0,3,18,0,0,2,1,0,1,0,0,3,33
101236,0,6,2,2,10,0,0,0,0,0,0,0,0,4,24
101238,0,0,0,0,2,0,0,0,0,0,0,0,0,4,6
101246,0,0,0,1,5,0,0,0,0,0,0,0,0,3,9
101248,0,5,0,2,15,0,0,1,0,0,0,0,0,3,26
101262,0,0,0,1,2,0,0,0,0,0,0,0,0,4,7
101264,0,0,0,0,3,0,0,1,0,0,0,0,0,4,8
101268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101270,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
101276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101283,0,6,0,4,1,0,0,2,0,0,0,0,0,1,14
101286,0,1,0,2,1,0,0,0,0,0,0,0,0,0,4
101295,0,6,0,1,2,0,0,2,0,0,0,0,0,0,11
101297,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6
101320,0,4,0,4,1,0,0,0,0,0,0,0,0,2,11
101321,2,11,0,3,5,0,0,3,0,0,0,0,0,4,28
101341,0,11,0,1,0,0,0,4,0,0,0,0,0,0,16
101343,0,5,0,1,2,0,0,7,0,0,0,0,0,0,15
