sample,site.rep,site.year,site,region,year,echino.rich,total.rich,Annelida,Arthropoda,Chaetognatha,Chordata,Cnidaria,Ctenophora,Hemichordata,Mollusca,Nemertea,Phoronida,Platyhelminthes,Porifera,Sipuncula,Echinodermata
1623,Fore_1,Fore_2017,Fore & Aft Reef,Central,2017,0,24,0,12,0,6,0,0,0,6,0,0,0,0,0,0
1624,Fore_2,Fore_2017,Fore & Aft Reef,Central,2017,0,23,0,16,0,1,0,0,0,6,0,0,0,0,0,0
1629,Bram_1,Bram_2017,Bramble Reef,Central,2017,0,20,0,6,0,11,1,0,0,2,0,0,0,0,0,0
1630,Bram_2,Bram_2017,Bramble Reef,Central,2017,1,21,0,9,0,9,2,0,0,0,0,0,0,0,0,1
1632,Brit_1,Brit_2017,Brittomart Reef,Central,2017,0,18,0,13,0,3,2,0,0,0,0,0,0,0,0,0
1633,Brit_2,Brit_2017,Brittomart Reef,Central,2017,0,12,0,9,0,1,2,0,0,0,0,0,0,0,0,0
1635,Otte_1,Otte_2017,Otter Reef,Central,2017,0,12,0,3,1,8,0,0,0,0,0,0,0,0,0,0
1636,Otte_2,Otte_2017,Otter Reef,Central,2017,0,36,1,16,1,12,3,0,0,3,0,0,0,0,0,0
1638,Yama_1,Yama_2017,Yamacutta Reef,Central,2017,0,15,0,10,0,4,1,0,0,0,0,0,0,0,0,0
1639,Yama_2,Yama_2017,Yamacutta Reef,Central,2017,0,14,0,11,0,0,3,0,0,0,0,0,0,0,0,0
1641,Eddy_1,Eddy_2017,Eddy Reef,Central,2017,0,34,2,15,5,9,3,0,0,0,0,0,0,0,0,0
1642,Eddy_2,Eddy_2017,Eddy Reef,Central,2017,0,25,1,11,4,8,1,0,0,0,0,0,0,0,0,0
1644,Hall_1,Hall_2017,Hall-Thompson Reef,Central,2017,0,24,1,13,1,5,3,0,0,1,0,0,0,0,0,0
1645,Hall_2,Hall_2017,Hall-Thompson Reef,Central,2017,0,28,1,13,1,9,3,0,0,1,0,0,0,0,0,0
1650,Gibs_1,Gibs_2017,Gibson Reef,Central,2017,2,36,1,12,4,14,3,0,0,0,0,0,0,0,0,2
1651,Gibs_2,Gibs_2017,Gibson Reef,Central,2017,4,32,1,13,3,6,3,0,0,1,0,0,0,1,0,4
1656,Sudb_1,Sudb_2017,Sudbury Reef,Central,2017,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1657,Sudb_2,Sudb_2017,Sudbury Reef,Central,2017,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1662,Gree_1,Gree_2017,Green Island,Central,2017,0,14,0,10,0,3,0,0,0,1,0,0,0,0,0,0
1663,Gree_2,Gree_2017,Green Island,Central,2017,0,11,0,5,0,5,0,0,0,1,0,0,0,0,0,0
1668,Pixi_1,Pixi_2017,Pixie Reef,Central,2017,0,20,0,11,2,5,0,0,0,2,0,0,0,0,0,0
1669,Pixi_2,Pixi_2017,Pixie Reef,Central,2017,0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
1674,Tong_1,Tong_2017,Tongue Reef,North,2017,1,5,0,1,0,3,0,0,0,0,0,0,0,0,0,1
