uniq,taxonomy,kingdom,phylum
uniq1,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq11,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq9,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq8,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq20,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq15,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq22,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq31,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq35,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq65,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq38,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq46,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq61,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq73,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq82,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq88,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq108,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq113,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq102,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq136,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq116,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq117,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq119,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq140,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq157,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq158,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq160,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq164,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq189,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq212,k:Eukaryota_2759,Eukaryota,Eukaryota
