uniq,phylum ,class,order,family,genus,species
uniq18048,Annelida,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta
uniq426,Annelida,Polychaeta,Polychaeta,Chaetopteridae,Chaetopterus,Chaetopterus
uniq2451,Annelida,Polychaeta,Polychaeta,Chaetopteridae,Chaetopterus,Chaetopterus
uniq6659,Annelida,Polychaeta,Polychaeta,Chaetopteridae,Chaetopterus,Chaetopterus
uniq4768,Annelida,Polychaeta,Polychaeta,Saccocirridae,Saccocirrus,Saccocirrus
uniq865,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq1354,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq9302,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq9629,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq12937,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq22329,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq28079,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq1502,Annelida,Polychaeta,Echiuroidea,Echiuridae,Ochetostoma,Ochetostoma
uniq13090,Annelida,Polychaeta,Echiuroidea,Echiuridae,Ochetostoma,Ochetostoma
uniq17096,Annelida,Polychaeta,Eunicida,Amphinomidae,Notopygos,Notopygos
uniq22995,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,Dorvillea
uniq6200,Annelida,Polychaeta,Eunicida,Eunicidae,Palola,Palola
uniq2930,Annelida,Polychaeta,Eunicida,Eunicidae,Eunicidae,Eunicidae
uniq2371,Annelida,Polychaeta,Eunicida,Eunicidae,Eunicidae,Eunicidae
uniq18391,Annelida,Polychaeta,Eunicida,Eunicidae,Eunicidae,Eunicidae
uniq741,Annelida,Polychaeta,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida
uniq3311,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Treptopale,Treptopale
uniq21411,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Treptopale,Treptopale
uniq4127,Annelida,Polychaeta,Phyllodocida,Hesionidae,Leocrates,Leocrates
uniq4776,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesionidae,Hesionidae
