otuID,BOLDclass
uniq920,Holothuroidea
uniq2952,Holothuroidea
uniq10083,Holothuroidea
uniq11651,Holothuroidea
uniq18072,Holothuroidea
uniq22391,Holothuroidea
uniq133,Asteroidea
uniq7,Asteroidea
uniq24237,Asteroidea
uniq14507,Asteroidea
uniq26010,Asteroidea
uniq299,Asteroidea
uniq3,Asteroidea
uniq29,Asteroidea
uniq13349,Asteroidea
uniq21588,Crinoidea
uniq674,Crinoidea
uniq7137,Crinoidea
uniq8300,Crinoidea
uniq5317,Echinoidea
uniq21187,Echinoidea
uniq9070,Echinoidea
uniq17395,Echinoidea
uniq951,Echinoidea
uniq17580,Echinoidea
uniq14751,Echinoidea
uniq22312,Echinoidea
uniq1096,Echinoidea
uniq3341,Echinoidea
uniq4809,Echinoidea
uniq5295,Echinoidea
uniq11340,Holothuroidea
uniq22621,Holothuroidea
uniq2170,Holothuroidea
uniq6994,Holothuroidea
uniq6018,Holothuroidea
uniq44,Holothuroidea
uniq448,Holothuroidea
uniq1513,Holothuroidea
uniq1535,Holothuroidea
uniq2308,Holothuroidea
uniq3089,Holothuroidea
uniq5629,Holothuroidea
uniq7859,Holothuroidea
uniq8125,Holothuroidea
uniq13484,Holothuroidea
uniq13990,Holothuroidea
uniq15502,Holothuroidea
uniq20286,Holothuroidea
uniq3400,Holothuroidea
uniq17959,Holothuroidea
uniq395,Holothuroidea
uniq9330,Holothuroidea
uniq22279,Holothuroidea
uniq5854,Ophiuroidea
uniq792,Ophiuroidea
uniq11708,Ophiuroidea
uniq25747,Ophiuroidea
uniq1895,Ophiuroidea
uniq4585,Ophiuroidea
uniq9250,Ophiuroidea
uniq14613,Ophiuroidea
uniq4024,Ophiuroidea
uniq1374,Ophiuroidea
uniq4814,Ophiuroidea
uniq7849,Ophiuroidea
uniq11057,Ophiuroidea
uniq15585,Ophiuroidea
uniq26135,Ophiuroidea
uniq27957,Ophiuroidea
uniq754,Ophiuroidea
uniq1610,Ophiuroidea
uniq5251,Ophiuroidea
uniq9317,Ophiuroidea
uniq22754,Ophiuroidea
uniq22771,Ophiuroidea
uniq8726,Ophiuroidea
uniq10665,Ophiuroidea
uniq12892,Ophiuroidea
uniq626,Ophiuroidea
uniq8156,Ophiuroidea
uniq647,Holothuroidea
uniq4067,Asteroidea
uniq7854,Asteroidea
uniq5195,Asteroidea
uniq17791,Holothuroidea
