uniq7	"k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Asteroidea_7588(1.00),o:Valvatida_41166(1.00),f:Acanthasteridae_133432(1.00),g:Acanthaster_133433(1.00),s:Acanthaster(1.00)"	+	"k:Eukaryota_2759,p:Echinodermata_7586,c:Asteroidea_7588,o:Valvatida_41166,f:Acanthasteridae_133432,g:Acanthaster_133433,s:Acanthaster"
uniq3	"k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Asteroidea_7588(1.00),o:Valvatida_41166(1.00),f:Ophidiasteridae_60561(1.00),g:Linckia_109181(1.00),s:Linckia(1.00)"	+	"k:Eukaryota_2759,p:Echinodermata_7586,c:Asteroidea_7588,o:Valvatida_41166,f:Ophidiasteridae_60561,g:Linckia_109181,s:Linckia"
uniq1	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.93),c:Hexanauplia_72037(0.12),s:Copepoda(0.10)"	+	k:Eukaryota_2759
uniq5	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.94),c:Insecta_50557(0.82),o:Coleoptera_7041(0.22),f:Cerambycidae_34667(0.03),g:Epiglenea_558735(0.01),s:Epiglenea(0.01)"	+	k:Eukaryota_2759
uniq4	"k:Eukaryota_2759(1.00),p:Mollusca_6447(0.03),c:Gastropoda_6448(0.02),o:Littorinimorpha_216294(0.02),f:Xenophoridae_906789(0.02),g:Xenophora_159996(0.02),s:Xenophora(0.02)"	+	k:Eukaryota_2759
uniq2	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.91),c:Insecta_50557(0.78),o:Lepidoptera_7088(0.30),f:Lycaenidae_27544(0.02),g:Axiocerses_889675(0.01),s:Axiocerses(0.01)"	+	k:Eukaryota_2759
uniq11	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.97),c:Insecta_50557(0.53),o:Lepidoptera_7088(0.16),f:Erebidae_695564(0.02),g:Hemeroblemma_695583(0.01),s:Hemeroblemma(0.01)"	+	k:Eukaryota_2759
uniq6	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.98),c:Insecta_50557(0.47),o:Diptera_7147(0.09),f:Syrphidae_34680(0.02),g:Merodon_224226(0.01),s:Merodon(0.01)"	+	"k:Eukaryota_2759,p:Arthropoda_6656"
uniq9	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.76),c:Hydrozoa_6074(0.69),o:Leptothecata_500008(0.46),f:Clytiidae_2750048(0.08),g:Clytia_13436(0.08),s:Clytia(0.08)"	+	k:Eukaryota_2759
uniq21			
uniq8	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.90),c:Insecta_50557(0.74),o:Lepidoptera_7088(0.22),f:Lycaenidae_27544(0.05),g:Poritia_124382(0.01),s:Poritia(0.01)"	+	k:Eukaryota_2759
uniq20	"k:Eukaryota_2759(1.00),p:Chordata_7711(0.97),c:Thaliacea_30304(0.97),o:Salpida_30307(0.97),f:Salpidae_34759(0.97),g:Thalia_34760(0.75),s:Thalia(0.75)"	+	k:Eukaryota_2759
uniq24			
uniq10	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Labriformes_1489928(1.00),f:Labridae_8247(1.00),g:Hipposcarus_188113(1.00),s:Hipposcarus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Labriformes_1489928,f:Labridae_8247,g:Hipposcarus_188113,s:Hipposcarus"
uniq15	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.94),c:Insecta_50557(0.80),o:Diptera_7147(0.40),f:Tachinidae_27474(0.01),g:Xanthophyto_1100678(0.01),s:Xanthophyto(0.01)"	+	k:Eukaryota_2759
uniq17	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(0.66),o:Calanoida_6833(0.62),f:Paracalanidae_163470(0.20),g:Paracalanus_163471(0.04),s:Paracalanus(0.04)"	+	"k:Eukaryota_2759,p:Arthropoda_6656"
uniq14	"k:Eukaryota_2759(1.00),p:Mollusca_6447(1.00),c:Bivalvia_6544(1.00),o:Mytiloida_6546(1.00),f:Mytilidae_6547(1.00),g:Trichomya_40251(1.00),s:Trichomya(1.00)"	+	"k:Eukaryota_2759,p:Mollusca_6447,c:Bivalvia_6544,o:Mytiloida_6546,f:Mytilidae_6547,g:Trichomya_40251,s:Trichomya"
uniq13	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Spariformes_1489931(1.00),f:Nemipteridae_30857(1.00),g:Scolopsis_119745(1.00),s:Scolopsis(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Spariformes_1489931,f:Nemipteridae_30857,g:Scolopsis_119745,s:Scolopsis"
uniq22	"k:Eukaryota_2759(1.00),p:Echinodermata_7586(0.97),c:Ophiuroidea_7618(0.97),o:Amphilepidida_2783457(0.97),f:Ophiocomidae_7621(0.67),g:Ophiocomella_1526690(0.66),s:Ophiocomella(0.66)"	+	k:Eukaryota_2759
uniq26			
uniq19			
uniq16	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.97),c:Hydrozoa_6074(0.97),o:Leptothecata_500008(0.97),f:Laodiceidae_168747(0.97),g:Laodicea_662011(0.97),s:Laodicea(0.97)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Leptothecata_500008,f:Laodiceidae_168747,g:Laodicea_662011,s:Laodicea"
uniq23			
uniq18	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Paracalanidae_163470(1.00),g:Paracalanus_163471(1.00),s:Paracalanus(1.00)"	+	"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Paracalanidae_163470,g:Paracalanus_163471,s:Paracalanus"
uniq40	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),f:Pomacentridae_30863(1.00),g:Pomacentrus_61808(1.00),s:Pomacentrus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,f:Pomacentridae_30863,g:Pomacentrus_61808,s:Pomacentrus"
uniq41			
uniq25			
uniq29	"k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Asteroidea_7588(1.00),o:Valvatida_41166(1.00),f:Ophidiasteridae_60561(1.00),g:Linckia_109181(1.00),s:Linckia(1.00)"	+	"k:Eukaryota_2759,p:Echinodermata_7586,c:Asteroidea_7588,o:Valvatida_41166,f:Ophidiasteridae_60561,g:Linckia_109181,s:Linckia"
uniq28	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.99),c:Hydrozoa_6074(0.99),o:Leptothecata_500008(0.99),f:Laodiceidae_168747(0.99),g:Laodicea_662011(0.99),s:Laodicea(0.99)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Leptothecata_500008,f:Laodiceidae_168747,g:Laodicea_662011,s:Laodicea"
uniq30	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Acanthuriformes_1489937(1.00),f:Acanthuridae_29146(1.00),g:Zebrasoma_75045(1.00),s:Zebrasoma(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Acanthuriformes_1489937,f:Acanthuridae_29146,g:Zebrasoma_75045,s:Zebrasoma"
uniq31	"k:Eukaryota_2759(1.00),p:Mollusca_6447(0.02),c:Cephalopoda_6605(0.02),o:Teuthida_551290(0.02),f:Ancistrocheiridae_61683(0.02),g:Ancistrocheirus_61684(0.02),s:Ancistrocheirus(0.02)"	+	k:Eukaryota_2759
uniq32	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Labriformes_1489928(1.00),f:Labridae_8247(1.00),g:Scarus_59660(1.00),s:Scarus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Labriformes_1489928,f:Labridae_8247,g:Scarus_59660,s:Scarus"
uniq33			
uniq34	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Perciformes_8111(1.00),f:Serranidae_30871(1.00),g:Epinephelus_94231(1.00),s:Epinephelus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Perciformes_8111,f:Serranidae_30871,g:Epinephelus_94231,s:Epinephelus"
uniq55	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Hydrozoa_6074(1.00),o:Leptothecata_500008(1.00),f:Aequoreidae_128126(1.00),g:Aequorea_6099(1.00),s:Aequorea(1.00)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Leptothecata_500008,f:Aequoreidae_128126,g:Aequorea_6099,s:Aequorea"
uniq35	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.94),c:Insecta_50557(0.66),o:Coleoptera_7041(0.18),f:Carabidae_41073(0.04),g:Bembidion_60800(0.03),s:Bembidion(0.03)"	+	k:Eukaryota_2759
uniq60	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Hydrozoa_6074(1.00),o:Siphonophorae_42759(1.00),f:Sphaeronectidae_168790(1.00),g:Sphaeronectes_168791(1.00),s:Sphaeronectes(1.00)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Siphonophorae_42759,f:Sphaeronectidae_168790,g:Sphaeronectes_168791,s:Sphaeronectes"
uniq37	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Anthozoa_6101(1.00),o:Actiniaria_6103(1.00),f:Actiniidae_42822(0.07),g:Condylactis_47072(0.07),s:Condylactis(0.07)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Anthozoa_6101,o:Actiniaria_6103"
uniq54	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Insecta_50557(0.44),o:Diptera_7147(0.14),f:Agromyzidae_127399(0.01),g:Phytomyza_132616(0.01),s:Phytomyza(0.01)"	+	"k:Eukaryota_2759,p:Arthropoda_6656"
uniq65	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.95),c:Insecta_50557(0.71),o:Lepidoptera_7088(0.20),f:Nymphalidae_33415(0.06),g:Heteropsis_167175(0.03),s:Heteropsis(0.03)"	+	k:Eukaryota_2759
