uniq,taxonomy
uniq2170,Actinopyga spinea
uniq6994,Actinopyga spinea
uniq25747,Amphiodia
uniq24237,Archaster typicus
uniq14507,Asteropsis carinifera
uniq26010,Asteropsis carinifera
uniq951,Astropyga
uniq17580,Astropyga
uniq6018,Bohadschia vitiensis
uniq5854,Ceratozetidae
uniq11340,Chiridota impatiens
uniq7137,Clarkcomanthus
uniq674,Comanthus
uniq8300,Comanthus
uniq133,Echinaster
uniq5317,Echinometridae
uniq7,Eleutherozoa
uniq448,Eleutherozoa
uniq647,Eleutherozoa
uniq920,Eleutherozoa
uniq1513,Eleutherozoa
uniq2308,Eleutherozoa
uniq2952,Eleutherozoa
uniq4067,Eleutherozoa
uniq3089,Eleutherozoa
uniq7854,Eleutherozoa
uniq5195,Eleutherozoa
uniq5629,Eleutherozoa
uniq10083,Eleutherozoa
uniq11651,Eleutherozoa
uniq13484,Eleutherozoa
uniq17791,Eleutherozoa
uniq18072,Eleutherozoa
uniq22391,Eleutherozoa
uniq21187,Eucidaris metularia
uniq299,Fromia indica
uniq7859,Holothuria
uniq8125,Holothuria
uniq3089,Holothuria arenicola
uniq15502,Holothuria atra
uniq44,Holothuria pardalis
uniq3400,Labidodemas pertinax
uniq17959,Labidodemas pertinax
uniq13349,Linckia
uniq3,Linckia 
uniq29,Linckia guildingi
uniq22754,Macrophiothrix leucosticha
uniq5251,Macrophiothrix lorioli
uniq22771,Macrophiothrix lorioli
uniq3341,Mespilia globulus
uniq4809,Mespilia globulus
uniq5295,Mespilia globulus
uniq1895,Ophiactis
uniq4585,Ophiactis
uniq9250,Ophiactis
uniq14613,Ophiactis
uniq4024,Ophiocoma brevipes
uniq11057,Ophionereis
uniq1374,Ophionereis variegata
uniq4814,Ophionereis variegata
uniq7849,Ophionereis variegata
uniq15585,Ophionereis variegata
uniq26135,Ophionereis variegata
uniq10665,Ophiothrix
uniq8726,Ophiothrix armata
uniq12892,Ophiothrix armata
uniq626,Ophiura
uniq8156,Ophiura
uniq9330,Stichopus
uniq22279,Stichopus
uniq395,Stichopus chloronotus
uniq14751,Stomopneustes variolaris
uniq22312,Stomopneustes variolaris
uniq22621,Synaptidae
