uniq,taxonomy
uniq18048,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341"
uniq426,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus"
uniq2451,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus"
uniq6659,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus"
uniq4768,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,f:Saccocirridae_36128,g:Saccocirrus_36129,s:Saccocirrus"
uniq865,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq1354,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq9302,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq9629,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq12937,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq22329,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq28079,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus"
uniq1502,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Ochetostoma_41800,s:Ochetostoma"
uniq13090,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Ochetostoma_41800,s:Ochetostoma"
uniq17096,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Notopygos_1288823,s:Notopygos"
uniq22995,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Eunicida_65495,f:Dorvilleidae_160440,g:Dorvillea_160441,s:Dorvillea"
uniq6200,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,g:Palola_365158,s:Palola"
uniq2930,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,s:Eunicidae"
uniq2371,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,s:Eunicidae"
uniq18391,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,s:Eunicidae"
uniq741,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348"
uniq3311,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348,f:Chrysopetalidae_115831,g:Treptopale_1213262,s:Treptopale"
uniq21411,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348,f:Chrysopetalidae_115831,g:Treptopale_1213262,s:Treptopale"
uniq4127,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348,f:Hesionidae_115834,g:Leocrates_378358,s:Leocrates"
uniq4776,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348,f:Hesionidae_115834,s:Hesionidae"
uniq6290,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348,f:Sigalionidae_104728,s:Sigalionidae"
uniq11726,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Phyllodocida_6348,f:Sigalionidae_104728,s:Sigalionidae"
uniq9444,"k:Eukaryota_2759,p:Annelida_6340,c:Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis"
uniq90,"k:Eukaryota_2759,p:Annelida_6340,s:Annelida"
uniq20599,"k:Eukaryota_2759,p:Annelida_6340,s:Annelida"
uniq348,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4051,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8391,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq9185,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq17775,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq18342,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21789,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25730,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq6,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq17,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq54,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq85,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq314,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq257,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq484,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq374,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq596,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq638,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq648,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq735,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq934,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1240,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3211,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1368,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1185,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1290,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1440,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1483,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2593,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2023,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1716,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq1753,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2009,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2008,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2279,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3292,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2490,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4344,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5388,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2576,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4215,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5262,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2628,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8128,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2790,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3316,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5895,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq2910,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5677,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3042,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3038,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3080,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3134,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3189,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3205,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3309,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq6387,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3385,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3653,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3761,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq3942,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4100,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4204,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4263,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5572,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq10107,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4515,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4860,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4894,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4907,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq4924,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7474,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7820,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5015,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5219,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5394,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5381,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5413,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5492,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5578,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5566,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq10041,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq5897,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq6100,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8587,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq6189,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq6625,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11864,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11822,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq6954,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7062,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7246,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7419,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7513,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7593,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq14465,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq7885,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8248,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8355,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8701,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8700,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq8770,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq9028,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq9043,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq10111,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq10366,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq9515,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq9585,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq10483,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq10718,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11248,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11307,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11349,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11428,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11513,"k:Eukaryota_2759,p:Arthropoda_6656"
