genus,Undi_2019,Oste_2019,Liza_2019,Gree_2019,Sudb_2019,Gibs_2019,Hall_2019,Eddy_2019,Otte_2019,Bram_2019,Bram_2017,Gibs_2017,Tong_2017,Undi_2018,Gree_2018,Sudb_2018,Eddy_2018,Yama_2018,Brit_2018,Fore_2018
Holothuria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinaster,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Acanthaster,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
Linckia,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1
Linckia,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1
Holothuria,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Holothuria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Holothuria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophionereis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ophiura,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
