OTUs,sampleID,readCount
uniq1440,sample9,4
uniq35913,sample11,4
uniq24142,sample3,4
uniq4599,sample14,4
uniq398,sample4,4
uniq440,sample2,4
uniq440,sample5,4
uniq506,sample14,4
uniq925,sample7,4
uniq925,sample13,4
uniq1093,sample3,4
uniq1120,sample13,4
uniq1184,sample8,4
uniq2604,sample10,4
uniq4432,sample2,4
uniq4432,sample10,4
uniq3744,sample5,4
uniq4983,sample5,4
uniq5670,sample7,4
uniq9536,sample2,4
uniq9536,sample12,4
uniq6393,sample11,4
uniq7646,sample3,4
uniq9514,sample8,4
uniq9916,sample2,4
uniq10841,sample8,4
uniq12882,sample2,4
uniq12882,sample6,4
uniq26632,sample4,4
uniq27619,sample13,4
uniq40550,sample5,4
uniq32386,sample9,4
uniq32987,sample5,4
uniq33163,sample9,4
uniq37529,sample8,4
uniq38134,sample2,4
uniq39400,sample9,4
uniq43016,sample13,4
uniq48216,sample8,4
uniq52038,sample11,4
uniq16681,sample9,4
uniq16120,sample9,4
uniq49208,sample8,4
uniq212,sample13,4
uniq15735,sample13,4
uniq4765,sample4,4
uniq7671,sample8,4
uniq40591,sample5,4
uniq51425,sample8,4
uniq435,sample9,4
uniq1016,sample12,4
uniq45240,sample14,4
uniq1287,sample9,4
uniq493,sample7,4
uniq493,sample8,4
uniq786,sample5,4
uniq993,sample5,4
uniq7891,sample14,4
uniq8598,sample14,4
uniq14630,sample14,4
uniq47188,sample3,4
uniq136,sample13,4
uniq811,sample5,4
uniq1613,sample6,4
uniq10353,sample8,4
uniq13716,sample8,4
uniq30656,sample8,4
uniq42746,sample3,4
uniq48523,sample8,4
uniq40929,sample8,4
uniq42257,sample3,4
uniq357,sample11,4
uniq44978,sample3,4
uniq35854,sample6,4
uniq36194,sample10,4
uniq42574,sample7,4
uniq49123,sample5,4
uniq1030,sample3,4
uniq25543,sample1,4
uniq542,sample8,4
uniq256,sample4,4
uniq581,sample15,4
uniq1125,sample1,4
uniq10333,sample7,4
uniq17164,sample10,4
uniq14389,sample10,4
uniq36429,sample3,4
uniq49194,sample7,4
uniq52060,sample7,4
uniq488,sample2,4
uniq1300,sample12,4
uniq1377,sample12,4
uniq1746,sample12,4
uniq2352,sample12,4
uniq34445,sample5,4
uniq39999,sample10,4
uniq40875,sample2,4
uniq43529,sample11,4
uniq170,sample9,4
uniq636,sample12,4
uniq388,sample10,4
uniq414,sample9,4
uniq1330,sample5,4
uniq2102,sample12,4
uniq6386,sample7,4
uniq7434,sample6,4
uniq33453,sample11,4
uniq36987,sample2,4
uniq49282,sample11,4
uniq297,sample15,4
uniq624,sample12,4
uniq889,sample8,4
uniq1812,sample14,4
uniq149,sample1,4
uniq17997,sample8,4
uniq2209,sample2,4
uniq870,sample15,4
uniq380,sample2,4
uniq32420,sample9,4
uniq813,sample11,4
uniq813,sample12,4
uniq1552,sample7,4
uniq27854,sample8,4
uniq20024,sample2,4
uniq32794,sample11,4
