otuID,kingdom,phylum,class
uniq15918,Eukaryota,Annelida,Polychaeta
uniq837,Eukaryota,Annelida,Polychaeta
uniq1440,Eukaryota,Annelida,Polychaeta
uniq4963,Eukaryota,Annelida,Polychaeta
uniq6976,Eukaryota,Annelida,Polychaeta
uniq33842,Eukaryota,Annelida,Polychaeta
uniq3906,Eukaryota,Annelida,Polychaeta
uniq8446,Eukaryota,Annelida,Polychaeta
uniq5405,Eukaryota,Annelida,Polychaeta
uniq17257,Eukaryota,Annelida,Polychaeta
uniq17368,Eukaryota,Annelida,Polychaeta
uniq23134,Eukaryota,Annelida,Polychaeta
uniq26846,Eukaryota,Annelida,Polychaeta
uniq1619,Eukaryota,Annelida,Polychaeta
uniq4982,Eukaryota,Annelida,Polychaeta
uniq1148,Eukaryota,Annelida,Polychaeta
uniq30424,Eukaryota,Annelida,Polychaeta
uniq45096,Eukaryota,Annelida,Polychaeta
uniq33801,Eukaryota,Annelida,Polychaeta
uniq994,Eukaryota,Annelida,Polychaeta
uniq35913,Eukaryota,Annelida,Polychaeta
uniq289,Eukaryota,Annelida,Polychaeta
uniq14817,Eukaryota,Annelida,Polychaeta
uniq29350,Eukaryota,Annelida,Polychaeta
uniq3729,Eukaryota,Annelida,Polychaeta
uniq24847,Eukaryota,Annelida,Polychaeta
uniq5978,Eukaryota,Annelida,Polychaeta
uniq15985,Eukaryota,Annelida,Polychaeta
uniq13071,Eukaryota,Annelida,Polychaeta
uniq131,Eukaryota,Annelida,Polychaeta
uniq119,Eukaryota,Annelida,Polychaeta
uniq2746,Eukaryota,Annelida,Polychaeta
uniq7536,Eukaryota,Annelida,Polychaeta
uniq6785,Eukaryota,Annelida,Polychaeta
uniq5158,Eukaryota,Annelida,Polychaeta
uniq6223,Eukaryota,Annelida,Polychaeta
uniq8281,Eukaryota,Annelida,Polychaeta
uniq9557,Eukaryota,Annelida,Polychaeta
uniq16688,Eukaryota,Annelida,Polychaeta
uniq37405,Eukaryota,Annelida,Polychaeta
uniq41022,Eukaryota,Annelida,Polychaeta
uniq43635,Eukaryota,Annelida,Polychaeta
uniq47611,Eukaryota,Annelida,Polychaeta
uniq2046,Eukaryota,Annelida,Polychaeta
uniq11825,Eukaryota,Annelida,Polychaeta
uniq24142,Eukaryota,Annelida,Polychaeta
uniq4599,Eukaryota,Annelida,Polychaeta
uniq33344,Eukaryota,Annelida,Polychaeta
uniq2365,Eukaryota,Annelida,Polychaeta
uniq2059,Eukaryota,Annelida,Polychaeta
uniq3493,Eukaryota,Annelida,Polychaeta
uniq8209,Eukaryota,Annelida,Polychaeta
uniq43,Eukaryota,Annelida,Annelida
uniq10053,Eukaryota,Arthropoda,Arthropoda
uniq14874,Eukaryota,Arthropoda,Arthropoda
uniq1688,Eukaryota,Arthropoda,Arthropoda
uniq21057,Eukaryota,Arthropoda,Arthropoda
uniq34077,Eukaryota,Arthropoda,Arthropoda
uniq828,Eukaryota,Arthropoda,Arthropoda
uniq10,Eukaryota,Arthropoda,Arthropoda
uniq8,Eukaryota,Arthropoda,Arthropoda
uniq60,Eukaryota,Arthropoda,Arthropoda
uniq85,Eukaryota,Arthropoda,Arthropoda
uniq111,Eukaryota,Arthropoda,Arthropoda
uniq195,Eukaryota,Arthropoda,Arthropoda
uniq333,Eukaryota,Arthropoda,Arthropoda
uniq282,Eukaryota,Arthropoda,Arthropoda
uniq398,Eukaryota,Arthropoda,Arthropoda
uniq363,Eukaryota,Arthropoda,Arthropoda
uniq751,Eukaryota,Arthropoda,Arthropoda
uniq430,Eukaryota,Arthropoda,Arthropoda
uniq440,Eukaryota,Arthropoda,Arthropoda
uniq444,Eukaryota,Arthropoda,Arthropoda
uniq498,Eukaryota,Arthropoda,Arthropoda
uniq506,Eukaryota,Arthropoda,Arthropoda
uniq1327,Eukaryota,Arthropoda,Arthropoda
uniq611,Eukaryota,Arthropoda,Arthropoda
uniq750,Eukaryota,Arthropoda,Arthropoda
uniq649,Eukaryota,Arthropoda,Arthropoda
uniq1274,Eukaryota,Arthropoda,Arthropoda
uniq925,Eukaryota,Arthropoda,Arthropoda
uniq1234,Eukaryota,Arthropoda,Arthropoda
uniq1038,Eukaryota,Arthropoda,Arthropoda
uniq1064,Eukaryota,Arthropoda,Arthropoda
uniq1093,Eukaryota,Arthropoda,Arthropoda
uniq1120,Eukaryota,Arthropoda,Arthropoda
uniq1690,Eukaryota,Arthropoda,Arthropoda
uniq1184,Eukaryota,Arthropoda,Arthropoda
uniq1260,Eukaryota,Arthropoda,Arthropoda
uniq2773,Eukaryota,Arthropoda,Arthropoda
uniq1725,Eukaryota,Arthropoda,Arthropoda
uniq2011,Eukaryota,Arthropoda,Arthropoda
uniq2288,Eukaryota,Arthropoda,Arthropoda
uniq3517,Eukaryota,Arthropoda,Arthropoda
uniq2604,Eukaryota,Arthropoda,Arthropoda
uniq3029,Eukaryota,Arthropoda,Arthropoda
uniq2656,Eukaryota,Arthropoda,Arthropoda
uniq6176,Eukaryota,Arthropoda,Arthropoda
uniq3025,Eukaryota,Arthropoda,Arthropoda
uniq6485,Eukaryota,Arthropoda,Arthropoda
uniq3239,Eukaryota,Arthropoda,Arthropoda
uniq3320,Eukaryota,Arthropoda,Arthropoda
uniq3486,Eukaryota,Arthropoda,Arthropoda
uniq3498,Eukaryota,Arthropoda,Arthropoda
