phylum,variable,value
Annelida,sample,3
Arthropoda,sample,41
Brachiopoda,sample,0
Chaetognatha,sample,10
Chordata,sample,2
Cnidaria,sample,6
Ctenophora,sample,0
Echinodermata,sample,5
Entoprocta,sample,0
Hemichordata,sample,1
Mollusca,sample,27
Nemertea,sample,1
Phoronida,sample,0
Platyhelminthes,sample,0
Porifera,sample,1
Sipuncula,sample,0
Annelida,sample1,5
Arthropoda,sample1,54
Brachiopoda,sample1,0
Chaetognatha,sample1,13
Chordata,sample1,6
Cnidaria,sample1,6
Ctenophora,sample1,0
Echinodermata,sample1,7
Entoprocta,sample1,0
Hemichordata,sample1,0
Mollusca,sample1,34
Nemertea,sample1,0
Phoronida,sample1,0
Platyhelminthes,sample1,1
Porifera,sample1,0
Sipuncula,sample1,0
Annelida,sample2,5
Arthropoda,sample2,75
Brachiopoda,sample2,0
Chaetognatha,sample2,17
Chordata,sample2,10
Cnidaria,sample2,7
Ctenophora,sample2,0
Echinodermata,sample2,10
Entoprocta,sample2,0
Hemichordata,sample2,1
Mollusca,sample2,60
Nemertea,sample2,0
Phoronida,sample2,0
Platyhelminthes,sample2,0
Porifera,sample2,5
Sipuncula,sample2,1
Annelida,sample3,2
Arthropoda,sample3,32
Brachiopoda,sample3,0
Chaetognatha,sample3,10
Chordata,sample3,6
Cnidaria,sample3,4
Ctenophora,sample3,0
Echinodermata,sample3,10
Entoprocta,sample3,0
Hemichordata,sample3,0
Mollusca,sample3,25
Nemertea,sample3,0
Phoronida,sample3,0
Platyhelminthes,sample3,1
Porifera,sample3,3
Sipuncula,sample3,1
Annelida,sample4,4
Arthropoda,sample4,49
Brachiopoda,sample4,0
Chaetognatha,sample4,14
Chordata,sample4,9
Cnidaria,sample4,9
Ctenophora,sample4,0
Echinodermata,sample4,5
Entoprocta,sample4,0
Hemichordata,sample4,0
Mollusca,sample4,44
Nemertea,sample4,0
Phoronida,sample4,0
Platyhelminthes,sample4,0
Porifera,sample4,1
Sipuncula,sample4,0
Annelida,sample5,5
Arthropoda,sample5,67
Brachiopoda,sample5,0
Chaetognatha,sample5,18
Chordata,sample5,12
Cnidaria,sample5,13
Ctenophora,sample5,0
Echinodermata,sample5,8
Entoprocta,sample5,0
Hemichordata,sample5,0
Mollusca,sample5,59
Nemertea,sample5,0
Phoronida,sample5,0
Platyhelminthes,sample5,0
Porifera,sample5,2
Sipuncula,sample5,1
Annelida,sample6,0
Arthropoda,sample6,44
Brachiopoda,sample6,0
Chaetognatha,sample6,13
Chordata,sample6,5
Cnidaria,sample6,3
Ctenophora,sample6,0
Echinodermata,sample6,3
Entoprocta,sample6,0
Hemichordata,sample6,0
Mollusca,sample6,30
Nemertea,sample6,1
Phoronida,sample6,0
Platyhelminthes,sample6,0
Porifera,sample6,1
Sipuncula,sample6,1
Annelida,sample7,2
Arthropoda,sample7,52
Brachiopoda,sample7,0
Chaetognatha,sample7,15
Chordata,sample7,11
Cnidaria,sample7,6
Ctenophora,sample7,0
Echinodermata,sample7,3
Entoprocta,sample7,0
Hemichordata,sample7,0
Mollusca,sample7,57
Nemertea,sample7,0
Phoronida,sample7,0
Platyhelminthes,sample7,1
Porifera,sample7,3
Sipuncula,sample7,1
Annelida,sample8,1
Arthropoda,sample8,38
Brachiopoda,sample8,0
Chaetognatha,sample8,9
Chordata,sample8,5
Cnidaria,sample8,2
Ctenophora,sample8,0
Echinodermata,sample8,1
Entoprocta,sample8,1
Hemichordata,sample8,0
Mollusca,sample8,22
Nemertea,sample8,0
Phoronida,sample8,0
Platyhelminthes,sample8,0
Porifera,sample8,1
Sipuncula,sample8,1
Annelida,sample9,6
Arthropoda,sample9,47
Brachiopoda,sample9,0
Chaetognatha,sample9,17
Chordata,sample9,5
Cnidaria,sample9,9
Ctenophora,sample9,0
Echinodermata,sample9,1
Entoprocta,sample9,1
Hemichordata,sample9,0
Mollusca,sample9,36
Nemertea,sample9,0
Phoronida,sample9,0
Platyhelminthes,sample9,1
Porifera,sample9,1
Sipuncula,sample9,1
Annelida,sample10,2
Arthropoda,sample10,61
Brachiopoda,sample10,0
Chaetognatha,sample10,25
Chordata,sample10,9
Cnidaria,sample10,8
Ctenophora,sample10,0
Echinodermata,sample10,5
Entoprocta,sample10,1
Hemichordata,sample10,0
Mollusca,sample10,54
Nemertea,sample10,1
Phoronida,sample10,0
Platyhelminthes,sample10,1
Porifera,sample10,2
Sipuncula,sample10,1
Annelida,sample11,2
Arthropoda,sample11,45
