phylum,variable,value
Annelida,sample,5
Arthropoda,sample,42
Brachiopoda,sample,0
Chaetognatha,sample,3
Chordata,sample,6
Cnidaria,sample,3
Ctenophora,sample,0
Echinodermata,sample,5
Entoprocta,sample,0
Hemichordata,sample,0
Mollusca,sample,33
Nemertea,sample,0
Phoronida,sample,0
Platyhelminthes,sample,0
Porifera,sample,0
Sipuncula,sample,0
Annelida,sample1,5
Arthropoda,sample1,63
Brachiopoda,sample1,0
Chaetognatha,sample1,4
Chordata,sample1,13
Cnidaria,sample1,7
Ctenophora,sample1,0
Echinodermata,sample1,8
Entoprocta,sample1,0
Hemichordata,sample1,0
Mollusca,sample1,24
Nemertea,sample1,2
Phoronida,sample1,0
Platyhelminthes,sample1,0
Porifera,sample1,0
Sipuncula,sample1,0
Annelida,sample2,4
Arthropoda,sample2,56
Brachiopoda,sample2,0
Chaetognatha,sample2,23
Chordata,sample2,5
Cnidaria,sample2,14
Ctenophora,sample2,0
Echinodermata,sample2,8
Entoprocta,sample2,0
Hemichordata,sample2,0
Mollusca,sample2,80
Nemertea,sample2,0
Phoronida,sample2,0
Platyhelminthes,sample2,0
Porifera,sample2,1
Sipuncula,sample2,0
Annelida,sample3,2
Arthropoda,sample3,33
Brachiopoda,sample3,0
Chaetognatha,sample3,14
Chordata,sample3,7
Cnidaria,sample3,15
Ctenophora,sample3,0
Echinodermata,sample3,8
Entoprocta,sample3,0
Hemichordata,sample3,0
Mollusca,sample3,15
Nemertea,sample3,0
Phoronida,sample3,0
Platyhelminthes,sample3,0
Porifera,sample3,0
Sipuncula,sample3,0
Annelida,sample4,3
Arthropoda,sample4,61
Brachiopoda,sample4,0
Chaetognatha,sample4,6
Chordata,sample4,24
Cnidaria,sample4,5
Ctenophora,sample4,0
Echinodermata,sample4,2
Entoprocta,sample4,0
Hemichordata,sample4,1
Mollusca,sample4,33
Nemertea,sample4,0
Phoronida,sample4,0
Platyhelminthes,sample4,0
Porifera,sample4,0
Sipuncula,sample4,0
Annelida,sample5,5
Arthropoda,sample5,86
Brachiopoda,sample5,0
Chaetognatha,sample5,5
Chordata,sample5,23
Cnidaria,sample5,5
Ctenophora,sample5,0
Echinodermata,sample5,7
Entoprocta,sample5,0
Hemichordata,sample5,0
Mollusca,sample5,54
Nemertea,sample5,0
Phoronida,sample5,0
