phylum,Annelida,Arthropoda,Brachiopoda,Chaetognatha,Chordata,Cnidaria,Ctenophora,Echinodermata,Entoprocta,Hemichordata,Mollusca,Nemertea,Phoronida,Platyhelminthes,Porifera,Sipuncula
sample,5,42,0,3,6,3,0,5,0,0,33,0,0,0,0,0
sample1,5,63,0,4,13,7,0,8,0,0,24,2,0,0,0,0
sample2,4,56,0,23,5,14,0,8,0,0,80,0,0,0,1,0
sample3,2,33,0,14,7,15,0,8,0,0,15,0,0,0,0,0
sample4,3,61,0,6,24,5,0,2,0,1,33,0,0,0,0,0
sample5,5,86,0,5,23,5,0,7,0,0,54,0,0,0,0,0
sample6,7,50,0,3,6,1,0,0,0,0,32,2,0,0,0,0
sample7,3,45,0,6,11,4,0,0,0,0,82,0,0,0,0,0
sample8,1,35,0,5,5,0,0,0,0,0,34,1,0,0,0,0
sample9,3,78,0,11,8,1,0,0,0,0,23,1,0,0,0,0
sample10,3,75,0,33,10,9,0,6,0,0,33,0,0,0,1,0
sample11,3,56,0,24,12,6,0,1,0,0,21,0,0,0,1,0
sample12,2,63,0,15,24,8,0,11,0,1,13,0,1,0,0,0
sample13,2,59,0,16,16,14,0,11,0,0,30,1,0,0,1,0
sample14,5,68,0,19,12,10,0,4,0,0,29,0,0,1,2,1
sample15,5,67,0,21,9,5,0,9,0,0,26,0,0,0,1,2
sample16,4,30,0,5,10,7,0,1,0,0,2,0,0,0,2,0
sample17,4,33,0,9,10,16,0,1,0,0,9,0,0,0,0,0
sample18,4,62,0,8,4,15,0,4,0,0,14,0,0,0,3,0
sample19,3,73,0,25,12,21,0,4,0,0,10,0,0,0,2,0
sample20,6,58,0,94,13,28,0,9,0,0,7,0,0,0,0,0
sample21,4,58,0,53,7,9,0,3,0,0,10,0,0,0,0,0
sample22,4,30,0,10,10,2,0,4,0,1,9,0,0,0,2,0
sample23,2,31,0,14,10,2,0,5,0,0,3,0,0,0,0,0
sample24,4,60,0,8,3,1,0,0,0,0,20,0,0,0,6,0
sample25,4,80,1,11,6,4,0,5,0,1,42,0,0,0,2,0
sample26,2,77,0,5,3,11,0,3,0,0,33,0,0,0,1,0
sample27,5,96,0,9,7,13,0,3,0,0,43,0,0,1,0,0
sample28,1,21,0,18,9,2,0,0,0,0,2,0,0,0,0,0
sample29,3,29,0,27,6,16,1,8,0,0,7,0,0,0,0,0
