BOLDgenus,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
Holothuria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acanthaster,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1
Echinaster,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Holothuria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Holothuria,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asteropsis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripneustes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiura,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiura,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiomastix,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophionereis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Synaptula,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ophiocoma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Astropyga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ophionereis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiocoma,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiomastix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mespilia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dactylosaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripneustes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Labidodemas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fromia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ophiothrix,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiomastix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophionereis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiocoma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiomastix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thelenota,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eucidaris,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Linckia,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Ophiothrix,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Amphiodia,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Stichopus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Holothuria,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
Linckia,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
Linckia,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
