species,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
Arbacia,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Macrophiothrix lorioli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acanthaster,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1
Ophiomastix asperula,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Comatulida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurythoe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophionereis variegata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Apodida,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Echinodermata,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiothrix armata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria pardalis,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
Ophiothrix armata,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Ophiura,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arbacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Metalia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ophiothrix trilineata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ophiocoma erinaceus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tripneustes gratilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripneustes kermadecensis,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
Astropyga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix koehleri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophionereis variegata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Echinodermata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphiodia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiocoma erinaceus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Linckia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelenota ananas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Echinaster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiuroidea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiomastix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Echinothrix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mespilia globulus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Koehleraster,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylosaster cylindricus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stichopus chloronotus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiocoma brevipes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Holothuria,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Holothuria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix lorioli,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Linckia guildingi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Macrophiothrix lorioli,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Fibularia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas pertinax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinodermata,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1
Tripneustes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix armata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mespilia globulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearsonothuria graeffei,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Ophiura,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Labidodemas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinodermata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria pardalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas pertinax,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ophiocoma erinaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linckia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comatulida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fromia indica,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Macrophiothrix longipeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas pertinax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucidaris metularia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiothrix armata,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Ophiomastix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amphilepidida,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amphiura microsoma,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Camarodonta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ophiothrix armata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mespilia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophionereis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiura,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
Lovenia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Comanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiocoma,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Holothuria,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Ophiomastix asperula,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinodermata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
