uniq,phylum,class,order,family,genus,species
uniq10,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10030,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Delibus,Delibus
uniq10032,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha
uniq10053,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10081,Arthropoda,Hexanauplia,Hexanauplia,Sessilia,Wanella,Wanella
uniq10082,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq101,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Paracalanus,Paracalanus
uniq1012,Chordata,Actinopteri,Actinopteri,Syngnathiformes,Diplogrammus,Diplogrammus
uniq10137,Chordata,Actinopteri,Actinopteri,Labriformes,Thalassoma,Thalassoma
uniq1016,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Subeucalanus,Subeucalanus
uniq10203,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Thylaeodus,Thylaeodus
uniq10227,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq10232,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Conomurex,Conomurex
uniq10240,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10278,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10282,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq10288,Mollusca,Gastropoda,Gastropoda,Gastropoda,Ercolania,Ercolania
uniq1030,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq10300,Arthropoda,Malacostraca,Malacostraca,Amphipoda,Hyperioides,Hyperioides
uniq10327,Cnidaria,Anthozoa,Anthozoa,Ceriantharia,Ceriantharia,Ceriantharia
uniq10333,Arthropoda,Malacostraca,Malacostraca,Decapoda,Thalamita,Thalamita
uniq10353,Arthropoda,Hexanauplia,Hexanauplia,Poecilostomatoida,Poecilostomatoida,Poecilostomatoida
uniq1038,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10479,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq10510,Echinodermata,Echinoidea,Echinoidea,Arbaciidae,Arbacia,Arbacia
uniq10579,Mollusca,Gastropoda,Gastropoda,Nudibranchia,Tenellia,Tenellia
