XtechRep,techRep,sample,pcrMerge,sampleMerge,sampleRep,tow,date,site,year,month,season
X100613A,100613A,Nov_2019.1,sample_1,sample1_1,Nov_2019.1,100613,Nov_2019,Moore Reef,2019,November,Spring
X100613B,100613B,Nov_2019.1,sample_2,sample1_2,Nov_2019.1,100613,Nov_2019,Moore Reef,2019,November,Spring
X100613C,100613C,Nov_2019.1,sample_3,sample1_3,Nov_2019.1,100613,Nov_2019,Moore Reef,2019,November,Spring
X100614A,100614A,Nov_2019.2,sample1_1,sample1_4,Nov_2019.2,100614,Nov_2019,Moore Reef,2019,November,Spring
X100614B,100614B,Nov_2019.2,sample1_2,sample1_5,Nov_2019.2,100614,Nov_2019,Moore Reef,2019,November,Spring
X100614C,100614C,Nov_2019.2,sample1_3,sample1_6,Nov_2019.2,100614,Nov_2019,Moore Reef,2019,November,Spring
X100991A,100991A,Jan_2020.1,sample2_1,sample2_1,Jan_2020.1,100991,Jan_2020,Moore Reef,2020,January,Summer
X100991B,100991B,Jan_2020.1,sample2_2,sample2_2,Jan_2020.1,100991,Jan_2020,Moore Reef,2020,January,Summer
X100991C,100991C,Jan_2020.1,sample2_3,sample2_3,Jan_2020.1,100991,Jan_2020,Moore Reef,2020,January,Summer
X100992A,100992A,Jan_2020.2,sample3_1,sample2_4,Jan_2020.2,100992,Jan_2020,Moore Reef,2020,January,Summer
X100992B,100992B,Jan_2020.2,sample3_2,sample2_5,Jan_2020.2,100992,Jan_2020,Moore Reef,2020,January,Summer
X100992C,100992C,Jan_2020.2,sample3_3,sample2_6,Jan_2020.2,100992,Jan_2020,Moore Reef,2020,January,Summer
X1167A,1167A,Mar_2017.1,sample4_1,sample3_1,Mar_2017.1,1167,Mar_2017,Moore Reef,2017,March,Autumn
X1167B,1167B,Mar_2017.1,sample4_2,sample3_2,Mar_2017.1,1167,Mar_2017,Moore Reef,2017,March,Autumn
X1167C,1167C,Mar_2017.1,sample4_3,sample3_3,Mar_2017.1,1167,Mar_2017,Moore Reef,2017,March,Autumn
X1168A,1168A,Mar_2017.2,sample5_1,sample3_4,Mar_2017.2,1168,Mar_2017,Moore Reef,2017,March,Autumn
X1168B,1168B,Mar_2017.2,sample5_2,sample3_5,Mar_2017.2,1168,Mar_2017,Moore Reef,2017,March,Autumn
X1168C,1168C,Mar_2017.2,sample5_3,sample3_6,Mar_2017.2,1168,Mar_2017,Moore Reef,2017,March,Autumn
X1446A,1446A,Jun_2017.1,sample6_1,sample4_1,Jun_2017.1,1446,Jun_2017,Moore Reef,2017,June,Winter
X1446B,1446B,Jun_2017.1,sample6_2,sample4_2,Jun_2017.1,1446,Jun_2017,Moore Reef,2017,June,Winter
X1446C,1446C,Jun_2017.1,sample6_3,sample4_3,Jun_2017.1,1446,Jun_2017,Moore Reef,2017,June,Winter
X1447A,1447A,Jun_2017.2,sample7_1,sample4_4,Jun_2017.2,1447,Jun_2017,Moore Reef,2017,June,Winter
X1447B,1447B,Jun_2017.2,sample7_2,sample4_5,Jun_2017.2,1447,Jun_2017,Moore Reef,2017,June,Winter
X1447C,1447C,Jun_2017.2,sample7_3,sample4_6,Jun_2017.2,1447,Jun_2017,Moore Reef,2017,June,Winter
X1470A,1470A,Aug_2017.1,sample8_1,sample5_1,Aug_2017.1,1470,Aug_2017,Moore Reef,2017,August,Winter
X1470B,1470B,Aug_2017.1,sample8_2,sample5_2,Aug_2017.1,1470,Aug_2017,Moore Reef,2017,August,Winter
X1470C,1470C,Aug_2017.1,sample8_3,sample5_3,Aug_2017.1,1470,Aug_2017,Moore Reef,2017,August,Winter
X1471A,1471A,Aug_2017.2,sample9_1,sample5_4,Aug_2017.2,1471,Aug_2017,Moore Reef,2017,August,Winter
X1471B,1471B,Aug_2017.2,sample9_2,sample5_5,Aug_2017.2,1471,Aug_2017,Moore Reef,2017,August,Winter
X1471C,1471C,Aug_2017.2,sample9_3,sample5_6,Aug_2017.2,1471,Aug_2017,Moore Reef,2017,August,Winter
X1530A,1530A,Dec_2017.1,sample10_1,sample6_1,Dec_2017.1,1530,Dec_2017,Moore Reef,2017,December,Summer
X1530B,1530B,Dec_2017.1,sample10_2,sample6_2,Dec_2017.1,1530,Dec_2017,Moore Reef,2017,December,Summer
X1530C,1530C,Dec_2017.1,sample10_3,sample6_3,Dec_2017.1,1530,Dec_2017,Moore Reef,2017,December,Summer
X1531A,1531A,Dec_2017.2,sample11_1,sample6_4,Dec_2017.2,1531,Dec_2017,Moore Reef,2017,December,Summer
X1531B,1531B,Dec_2017.2,sample11_2,sample6_5,Dec_2017.2,1531,Dec_2017,Moore Reef,2017,December,Summer
X1531C,1531C,Dec_2017.2,sample11_3,sample6_6,Dec_2017.2,1531,Dec_2017,Moore Reef,2017,December,Summer
