sampleMerge,tow,date,site,year,month,season
sample1,100613,Nov_2019,Moore Reef,2019,November,Spring
sample2,100991,Jan_2020,Moore Reef,2020,January,Summer
sample3,1167,Mar_2017,Moore Reef,2017,March,Autumn
sample4,1446,Jun_2017,Moore Reef,2017,June,Winter
sample5,1470,Aug_2017,Moore Reef,2017,August,Winter
sample6,1530,Dec_2017,Moore Reef,2017,December,Summer
sample7,1563,Jan_2018,Moore Reef,2018,January,Summer
sample8,1984,Mar_2018,Moore Reef,2018,March,Autumn
sample9,208,Dec_2015,Moore Reef,2015,December,Summer
sample10,286,Jan_2016,Moore Reef,2016,January,Summer
sample11,548,Mar_2016,Moore Reef,2016,March,Autumn
sample12,639,Jun_2016,Moore Reef,2016,June,Winter
sample13,684,Aug_2016,Moore Reef,2016,August,Winter
sample14,774,Dec_2016,Moore Reef,2016,December,Summer
sample15,952,Jan_2017,Moore Reef,2017,January,Summer
