otuID,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
uniq1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
uniq10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
uniq100,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
uniq10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq1001,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
uniq10012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10023,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
uniq10025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10030,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10032,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq1004,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
uniq10046,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq1005,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq1006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq1008,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
uniq10081,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq1009,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1
uniq101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
uniq1010,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
uniq10102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq10110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq1012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq1015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
uniq10159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq1016,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
uniq10163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq10175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq10189,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq1020,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1
uniq10203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq10226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq10232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq10248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10252,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq1026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq10274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uniq10275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10280,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq1029,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
uniq10292,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq1030,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
uniq10300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10317,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
