uniq,kingdom,phylum
uniq5,Eukaryota,Echinodermata
uniq1,Eukaryota,Eukaryota
uniq3,Eukaryota,Eukaryota
uniq2,Eukaryota,Eukaryota
uniq10,Eukaryota,Arthropoda
uniq4,Eukaryota,Eukaryota
uniq6,Eukaryota,Eukaryota
uniq14,Eukaryota,Echinodermata
uniq11,Eukaryota,Echinodermata
uniq8,Eukaryota,Arthropoda
uniq18,Eukaryota,Chaetognatha
uniq9,Eukaryota,Eukaryota
uniq15,Eukaryota,Eukaryota
uniq22,Eukaryota,Chordata
uniq28,Eukaryota,Eukaryota
uniq23,Eukaryota,Rhodophyta
uniq24,Eukaryota,Arthropoda
uniq27,Eukaryota,Chordata
uniq90,Eukaryota,Chaetognatha
uniq25,Eukaryota,Eukaryota
uniq36,Eukaryota,Echinodermata
uniq57,Eukaryota,Eukaryota
uniq35,Eukaryota,Arthropoda
uniq39,Eukaryota,Chaetognatha
uniq40,Eukaryota,Mollusca
uniq47,Eukaryota,Eukaryota
uniq42,Eukaryota,Eukaryota
uniq52,Eukaryota,Eukaryota
uniq43,Eukaryota,Annelida
uniq50,Eukaryota,Eukaryota
uniq62,Eukaryota,Arthropoda
uniq74,Eukaryota,Eukaryota
uniq55,Eukaryota,Chordata
uniq63,Eukaryota,Arthropoda
uniq59,Eukaryota,Chordata
uniq66,Eukaryota,Arthropoda
uniq88,Eukaryota,Eukaryota
uniq107,Eukaryota,Chaetognatha
uniq64,Eukaryota,Eukaryota
uniq65,Eukaryota,Eukaryota
uniq60,Eukaryota,Arthropoda
uniq109,Eukaryota,Eukaryota
uniq69,Eukaryota,Arthropoda
uniq85,Eukaryota,Arthropoda
uniq145,Eukaryota,Eukaryota
uniq75,Eukaryota,Chordata
uniq80,Eukaryota,Cnidaria
uniq113,Eukaryota,Arthropoda
uniq83,Eukaryota,Mollusca
uniq84,Eukaryota,Eukaryota
uniq92,Eukaryota,Chordata
uniq89,Eukaryota,Chaetognatha
uniq94,Eukaryota,Eukaryota
uniq95,Eukaryota,Arthropoda
uniq192,Eukaryota,Chaetognatha
uniq217,Eukaryota,Eukaryota
uniq101,Eukaryota,Arthropoda
uniq99,Eukaryota,Chaetognatha
uniq144,Eukaryota,Eukaryota
uniq120,Eukaryota,Eukaryota
uniq138,Eukaryota,Eukaryota
uniq100,Eukaryota,Eukaryota
uniq124,Eukaryota,Mollusca
uniq106,Eukaryota,Chordata
uniq111,Eukaryota,Arthropoda
uniq208,Eukaryota,Chordata
uniq114,Eukaryota,Eukaryota
uniq129,Eukaryota,Eukaryota
uniq131,Eukaryota,Annelida
uniq119,Eukaryota,Annelida
uniq125,Eukaryota,Chordata
uniq212,Eukaryota,Arthropoda
uniq132,Eukaryota,Chordata
uniq136,Eukaryota,Arthropoda
uniq142,Eukaryota,Eukaryota
uniq190,Eukaryota,Eukaryota
uniq1308,Eukaryota,Eukaryota
uniq141,Eukaryota,Eukaryota
uniq1009,Eukaryota,Eukaryota
uniq149,Eukaryota,Chordata
uniq272,Eukaryota,Eukaryota
uniq155,Eukaryota,Eukaryota
uniq157,Eukaryota,Arthropoda
uniq160,Eukaryota,Chaetognatha
uniq163,Eukaryota,Chordata
uniq164,Eukaryota,Chaetognatha
uniq161,Eukaryota,Eukaryota
uniq167,Eukaryota,Cnidaria
uniq171,Eukaryota,Chaetognatha
uniq169,Eukaryota,Eukaryota
uniq170,Eukaryota,Chaetognatha
uniq172,Eukaryota,Arthropoda
uniq174,Eukaryota,Arthropoda
uniq177,Eukaryota,Chordata
uniq181,Eukaryota,Chordata
uniq182,Eukaryota,Eukaryota
uniq224,Eukaryota,Eukaryota
uniq291,Eukaryota,Eukaryota
uniq193,Eukaryota,Eukaryota
uniq197,Eukaryota,Echinodermata
uniq570,Eukaryota,Eukaryota
uniq195,Eukaryota,Arthropoda
uniq196,Eukaryota,Eukaryota
uniq248,Eukaryota,Chordata
uniq198,Eukaryota,Arthropoda
uniq201,Eukaryota,Eukaryota
uniq203,Eukaryota,Eukaryota
uniq204,Eukaryota,Eukaryota
uniq239,Eukaryota,Arthropoda
uniq209,Eukaryota,Echinodermata
uniq210,Eukaryota,Eukaryota
uniq318,Eukaryota,Arthropoda
uniq287,Eukaryota,Eukaryota
uniq218,Eukaryota,Eukaryota
uniq333,Eukaryota,Arthropoda
uniq227,Eukaryota,Eukaryota
uniq223,Eukaryota,Eukaryota
uniq271,Eukaryota,Eukaryota
uniq230,Eukaryota,Chordata
uniq454,Eukaryota,Cnidaria
uniq236,Eukaryota,Chordata
uniq368,Eukaryota,Eukaryota
uniq660,Eukaryota,Mollusca
uniq238,Eukaryota,Mollusca
uniq240,Eukaryota,Eukaryota
uniq244,Eukaryota,Eukaryota
uniq572,Eukaryota,Chordata
uniq253,Eukaryota,Arthropoda
uniq249,Eukaryota,Eukaryota
uniq255,Eukaryota,Eukaryota
uniq256,Eukaryota,Arthropoda
uniq257,Eukaryota,Eukaryota
uniq258,Eukaryota,Arthropoda
uniq329,Eukaryota,Eukaryota
uniq261,Eukaryota,Arthropoda
uniq263,Eukaryota,Arthropoda
uniq265,Eukaryota,Chordata
uniq343,Eukaryota,Eukaryota
uniq268,Eukaryota,Eukaryota
uniq282,Eukaryota,Arthropoda
uniq356,Eukaryota,Mollusca
uniq286,Eukaryota,Cnidaria
uniq284,Eukaryota,Chordata
uniq285,Eukaryota,Echinodermata
uniq289,Eukaryota,Annelida
uniq569,Eukaryota,Eukaryota
uniq288,Eukaryota,Chaetognatha
uniq783,Eukaryota,Eukaryota
uniq290,Eukaryota,Arthropoda
uniq350,Eukaryota,Eukaryota
uniq297,Eukaryota,Chordata
uniq292,Eukaryota,Eukaryota
uniq357,Eukaryota,Arthropoda
uniq375,Eukaryota,Mollusca
uniq299,Eukaryota,Eukaryota
uniq435,Eukaryota,Arthropoda
uniq377,Eukaryota,Chordata
uniq301,Eukaryota,Rhodophyta
uniq307,Eukaryota,Eukaryota
uniq555,Eukaryota,Cnidaria
uniq308,Eukaryota,Eukaryota
uniq309,Eukaryota,Eukaryota
uniq398,Eukaryota,Arthropoda
uniq310,Eukaryota,Arthropoda
uniq488,Eukaryota,Chaetognatha
uniq316,Eukaryota,Eukaryota
uniq317,Eukaryota,Chordata
uniq606,Eukaryota,Chaetognatha
uniq322,Eukaryota,Chordata
uniq805,Eukaryota,Eukaryota
uniq326,Eukaryota,Eukaryota
