uniq5	k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Asteroidea_7588(1.00),o:Valvatida_41166(1.00),f:Ophidiasteridae_60561(1.00),g:Linckia_109181(1.00),s:Linckia(1.00)	+	k:Eukaryota_2759,p:Echinodermata_7586,c:Asteroidea_7588,o:Valvatida_41166,f:Ophidiasteridae_60561,g:Linckia_109181,s:Linckia
uniq7				
uniq1	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.85),c:Arachnida_6854(0.03),o:Araneae_6893(0.03),f:Theridiidae_34643(0.01),g:Anelosimus_233309(0.01),s:Anelosimus(0.01)	+	k:Eukaryota_2759
uniq3	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.93),c:Malacostraca_6681(0.05),o:Amphipoda_6821(0.04),f:Ampithoidae_134540(0.02),g:Pleonexes_2663335(0.02),s:Pleonexes(0.02)	+	k:Eukaryota_2759
uniq2	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.90),c:Insecta_50557(0.71),o:Hemiptera_7524(0.04),f:Cicadidae_7033(0.03),g:Psaltoda_1225615(0.03),s:Psaltoda(0.03)	+	k:Eukaryota_2759
uniq10	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.99),c:Insecta_50557(0.78),o:Diptera_7147(0.41),f:Syrphidae_34680(0.01),g:Phytomia_1463626(0.01),s:Phytomia(0.01)	+	k:Eukaryota_2759,p:Arthropoda_6656
uniq4	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.95),c:Insecta_50557(0.82),o:Lepidoptera_7088(0.24),f:Noctuidae_7100(0.01),g:Acronicta_56362(0.01),s:Acronicta(0.01)	+	k:Eukaryota_2759
uniq6	k:Eukaryota_2759(1.00),p:Mollusca_6447(0.03),c:Polyplacophora_6650(0.03),o:Chitonida_6652(0.01),f:Mopaliidae_34585(0.01),g:Mopalia_256103(0.01),s:Mopalia(0.01)	+	k:Eukaryota_2759
uniq14	k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Holothuroidea_7705(1.00),o:Aspidochirotida_7682(1.00),f:Holothuriidae_7683(1.00),g:Holothuria_7684(1.00),s:Holothuria(1.00)	+	k:Eukaryota_2759,p:Echinodermata_7586,c:Holothuroidea_7705,o:Aspidochirotida_7682,f:Holothuriidae_7683,g:Holothuria_7684,s:Holothuria
uniq11	k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Asteroidea_7588(1.00),o:Valvatida_41166(1.00),f:Acanthasteridae_133432(1.00),g:Acanthaster_133433(1.00),s:Acanthaster(1.00)	+	k:Eukaryota_2759,p:Echinodermata_7586,c:Asteroidea_7588,o:Valvatida_41166,f:Acanthasteridae_133432,g:Acanthaster_133433,s:Acanthaster
