uniq,kingdom,phylum,class,order,family,genus,species
uniq15918,Eukaryota,Annelida,Polychaeta,Polychaeta_6341,,,
uniq837,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq1440,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq4963,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq6976,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq33842,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Polygordiidae_188465,g:Polygordius_188466,s:Polygordius",,,
uniq3906,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Bonelliidae_47116,g:Bonellia_47117,s:Bonellia",,,
uniq8446,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq5405,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq17257,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq17368,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq23134,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq26846,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq1619,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Ochetostoma_41800,s:Ochetostoma",,,
uniq4982,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Ochetostoma_41800,s:Ochetostoma",,,
uniq1148,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Eurythoe_104702,s:Eurythoe",,,
uniq30424,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Pherecardia_1028436,s:Pherecardia",,,
uniq45096,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Pherecardia_1028436,s:Pherecardia",,,
uniq33801,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,g:Palola_365158,s:Palola",,,
uniq994,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,s:Eunicidae",,,
uniq35913,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Chrysopetalidae_115831,g:Treptopale_1213262,s:Treptopale",,,
uniq289,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Hesionidae_115834,s:Hesionidae",,,
uniq14817,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Nereididae_39820,g:Nereis_6351,s:Nereis",,,
uniq29350,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Nereididae_39820,g:Perinereis_6354,s:Perinereis",,,
uniq3729,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Sigalionidae_104728,s:Sigalionidae",,,
uniq24847,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Sigalionidae_104728,s:Sigalionidae",,,
uniq5978,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Sabellida_6362,f:Sabellidae_6366,g:Acromegalomma_2023652,s:Acromegalomma",,,
uniq15985,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Sabellida_6362,f:Sabellidae_6366,g:Acromegalomma_2023652,s:Acromegalomma",,,
uniq13071,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Sabellida_6362,f:Sabellidae_6366,g:Bispira_754250,s:Bispira",,,
uniq131,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Malacoceros_104704,s:Malacoceros",,,
uniq119,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Malacoceros_104704,s:Malacoceros",,,
uniq2746,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq7536,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq6785,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq5158,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq6223,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq8281,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq9557,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq16688,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq37405,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq41022,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq43635,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq47611,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq2046,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis",,,
uniq11825,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis",,,
uniq24142,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis",,,
uniq4599,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,s:Spionidae",,,
uniq33344,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Terebellida_6373,f:Cirratulidae_46590,g:Timarete_1570309,s:Timarete",,,
uniq2365,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Terebellida_6373,f:Terebellidae_32261,g:Amaeana_153657,s:Amaeana",,,
uniq2059,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Terebellida_6373,f:Terebellidae_32261,g:Rhinothelepus_153628,s:Rhinothelepus",,,
uniq3493,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,s:Polychaeta",,,
uniq8209,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,s:Polychaeta",,,
uniq43,Eukaryota,Annelida,Annelida,"Annelida_6340,s:Annelida",,,
uniq10053,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq14874,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1688,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq21057,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34077,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq828,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq8,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq60,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq85,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq111,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq195,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq333,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq282,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq398,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq363,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq751,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq430,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq440,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq444,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq498,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq506,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1327,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq611,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq750,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq649,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1274,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq925,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1234,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1038,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
