uniq,hit
uniq5,Linckia
uniq11,Eleutherozoa
uniq14,Holothuria pardalis
uniq36,Linckia guildingi
uniq197,Linckia
uniq209,Echinaster
uniq285,Stichopus chloronotus
uniq502,Fromia indica
uniq928,Ophiomastix asperula
uniq1263,Eleutherozoa
uniq874,Comanthus
uniq1414,Ophiothrix armata
uniq1829,Ophionereis variegata
uniq1838,Eleutherozoa
uniq1847,Amphiodia
uniq1850,Eleutherozoa
uniq2034,Thelenota ananas
uniq2169,Mespilia globulus
uniq4768,Labidodemas pertinax
uniq6239,Amphiura microsoma
uniq7288,Ophiura
uniq5072,Diadasia australis
uniq5276,Eucidaris metularia
uniq6267,Echinometridae
uniq5487,Ophiothrix armata
uniq6293,Ophiothrix armata
uniq9178,Ophiocoma
uniq9430,Eleutherozoa
uniq15275,Ophiothrix trilineata
uniq10926,Macrophiothrix lorioli
uniq11160,Ophiomastix asperula
uniq11815,Ophionereis variegata
uniq12366,Ophiothrix
uniq12820,Eleutherozoa
uniq13772,Ophiothrix armata
uniq14337,Ophiura
uniq15382,Ophiocoma erinaceus
uniq15695,Tripneustes gratilla
uniq15695,Tripneustes kermadecensis
uniq15790,Astropyga
uniq16268,Macrophiothrix koehleri
uniq18495,Ophiocoma erinaceus
uniq21372,Ophiomastix
uniq27709,Dactylosaster cylindricus
uniq29271,Ophiocoma brevipes
uniq30145,Eleutherozoa
uniq32409,Holothuria
uniq35050,Macrophiothrix lorioli
uniq36478,Macrophiothrix lorioli
uniq36867,Labidodemas pertinax
uniq37577,Ophiothrix
uniq38757,Macrophiothrix
uniq39002,Tripneustes
uniq40126,Ophiothrix armata
uniq41312,Eleutherozoa
uniq42377,Mespilia globulus
uniq44535,Pearsonothuria graeffei
uniq46821,Eleutherozoa
uniq46911,Holothuria pardalis
uniq48094,Ophiocoma erinaceus
uniq50423,Macrophiothrix longipeda
uniq50881,Labidodemas pertinax
uniq51344,Ophiothrix
