sample,rep,replicate,total
Nov_2019.1,1,100613,16980
Nov_2019.1,1,100613,16814
Nov_2019.1,1,100613,19907
Nov_2019.2,2,100614,18861
Nov_2019.2,2,100614,31908
Nov_2019.2,2,100614,29916
Jan_2020.1,1,100991,12991
Jan_2020.1,1,100991,19861
Jan_2020.1,1,100991,14052
Jan_2020.2,2,100992,10483
Jan_2020.2,2,100992,15216
Jan_2020.2,2,100992,14490
Mar_2017.1,1,1167,21267
Mar_2017.1,1,1167,18712
Mar_2017.1,1,1167,18010
Mar_2017.2,2,1168,27476
Mar_2017.2,2,1168,29393
Mar_2017.2,2,1168,7228
Jun_2017.1,1,1446,9123
Jun_2017.1,1,1446,13501
Jun_2017.1,1,1446,12493
Jun_2017.2,2,1447,6963
Jun_2017.2,2,1447,13060
Jun_2017.2,2,1447,13696
Aug_2017.1,1,1470,9431
Aug_2017.1,1,1470,16478
Aug_2017.1,1,1470,15212
Aug_2017.2,2,1471,12736
Aug_2017.2,2,1471,25548
Aug_2017.2,2,1471,24624
Dec_2017.1,1,1530,15003
Dec_2017.1,1,1530,28302
Dec_2017.1,1,1530,28025
Dec_2017.2,2,1531,6448
Dec_2017.2,2,1531,11861
Dec_2017.2,2,1531,11868
Jan_2018.1,1,1563,14189
Jan_2018.1,1,1563,14108
Jan_2018.1,1,1563,10339
Jan_2018.2,2,1564,14026
Jan_2018.2,2,1564,21145
Jan_2018.2,2,1564,26100
Mar_2018.1,1,1984,16170
Mar_2018.1,1,1984,17850
Mar_2018.1,1,1984,25342
Mar_2018.2,2,1985,14384
Mar_2018.2,2,1985,18284
Mar_2018.2,2,1985,16366
Dec_2015.1,1,208,16415
Dec_2015.1,1,208,19725
Dec_2015.1,1,208,25395
Dec_2015.2,2,209,17808
Dec_2015.2,2,209,18372
Dec_2015.2,2,209,23812
Jan_2016.1,1,286,11144
Jan_2016.1,1,286,19340
Jan_2016.1,1,286,13557
Jan_2016.2,2,287,9575
Jan_2016.2,2,287,18373
Jan_2016.2,2,287,24279
Mar_2016.1,1,548,10674
Mar_2016.1,1,548,22033
Mar_2016.1,1,548,29928
Mar_2016.2,2,549,9552
Mar_2016.2,2,549,11610
Mar_2016.2,2,549,14187
Jun_2016.1,1,639,3918
Jun_2016.1,1,639,9556
Jun_2016.1,1,639,6697
Jun_2016.2,2,640,9475
Jun_2016.2,2,640,2401
Jun_2016.2,2,640,4879
Aug_2016.1,1,684,17145
Aug_2016.1,1,684,15503
Aug_2016.1,1,684,13219
Aug_2016.2,2,685,10759
Aug_2016.2,2,685,11302
Aug_2016.2,2,685,12350
Dec_2016.1,1,774,16830
Dec_2016.1,1,774,17741
Dec_2016.1,1,774,10546
Dec_2016.2,2,775,18561
Dec_2016.2,2,775,19085
Dec_2016.2,2,775,27189
Jan_2017.1,1,952,3723
Jan_2017.1,1,952,4850
Jan_2017.1,1,952,3616
Jan_2017.2,2,953,10822
Jan_2017.2,2,953,13511
Jan_2017.2,2,953,9452
